,Species,Soil,Total_length,Shoot_length,Root_length,Total_mass,Shoot_mass,Root_mass,Leaf_number,Leaf_width,germinated
group 1,kale,live,21.5,14.5,7,7.49,7.1,0.3,5,2.5,1
Carissa,kale,live,,,,,,,,,0
Will,kale,dead,19,13,6,2.41,2.1,0.2,6,2.2,1
,kale,dead,28.5,20,8.5,2.43,2.2,0.2,6,3,1
,corn,live,105,72,33,10.3,7.4,1.6,5,3.2,1
,corn,live,72,56,16,11.1,9.3,2.1,4,3.9,1
,corn,dead,85,60,25,9.7,7.3,2.2,6,2.2,1
,corn,dead,111,67,44,10.2,8.1,1.8,6,2.6,1
group 2,kale,live,34,21,13,4.14,3.55,0.59,8,5,1
Carly,kale,live,,,,,,,,,0
Brianna,kale,dead,39,19,20,2.86,2.18,0.78,8,3,1
,kale,dead,41,22,22,7.75,6.57,1.18,12,6,1
,corn,live,72,35,37,11.09,7.41,3.68,6,1.5,1
,corn,live,95,37,58,17.72,10.79,7.03,6,1.5,1
,corn,dead,59,38,21,13.18,8.49,4.69,6,1,1
,corn,dead,67,45,22,11.08,7.16,3.92,7,2.5,1
group 3,kale,live,,,,,,,,,0
Lizzy,kale,live,,,,,,,,,0
Meadow,kale,dead,,,,,,,,,0
,kale,dead,,,,,,,,,0
,corn,live,103.124,78.74,24.384,15.03,11.9,3.13,6,2.667,1
,corn,live,92.964,63.754,29.21,11.61,7.9,3.71,6,2.54,1
,corn,dead,95.631,69.596,26.035,11.65,7.9,3.75,6,2.286,1
,corn,dead,89.916,59.69,30.226,11.03,7.73,3.3,6,2.54,1
group 4,kale,live,23,19,4,2.82,2.6,0.22,6,5.8,1
Teodora,kale,live,,,,,,,,,0
Kylee,kale,dead,23,19,4,2.85,2.63,0.22,6,6,1
,kale,dead,25,16,9,4.23,3.72,0.51,6,6.5,1
,corn,live,66,52,14,7.87,6.4,1.47,5,1.8,1
,corn,live,90,64,26,11.96,9.33,2.62,5,2.9,1
,corn,dead,68,46,22,8.38,5.01,3.37,5,2.2,1
,corn,dead,86,69,17,19.35,11.2,8.15,5,2.4,1
group 5,kale,live,21.9,11.8,10,2.72,1.79,0.93,7,4.2,1
Connor,kale,live,23.2,14.1,9.1,1.52,1.22,0.3,7,4.5,1
Nico,kale,dead,,,,,,,,,0
,kale,dead,,,,,,,,,0
,corn,live,85.1,66.2,18.9,14.02,8.52,5.5,5,2.5,1
,corn,live,,,,,,,,,0
,corn,dead,95.3,81.4,13.9,15.07,9.86,5.21,6,2.8,1
,corn,dead,83.5,53.9,29.6,21.83,13.42,8.41,7,1.8,1
