no,block,origin,pop,inoc,G.height1,G.height2,G.height3,G.leaves3,BA.snailsize,BA.none,BA.LA_before,BA.LA,LMA.leaflet_g,LMA.leaflet_cm2,H.n_nodules,H.nR,H.nW,H.above_g,H.roots_g,H.nodules_g
61,4,US,5,auto,8,10,8,4,1.7,,2.722,2.722,0.0022,0.96,0,,,0.0494,0.0764,0
62,4,US,8,int,9.5,10,16,7,1.6,,5.586,5.586,0.0098,5.484,28,5,0,0.6072,0.4001,0.0899
63,4,FI,32,int,8.5,15,21,6,1.6,,4.909,4.888,0.0147,7.994,17,5,0,0.4509,0.115,0.0389
64,4,US,4,int,8.5,10,25,6,1.5,,8.976,8.622,0.0172,9.495,18,5,0,0.6972,0.3584,0.1118
65,4,US,8,auto,8,9,8,5,1.9,,2.589,2.589,0.0045,2.313,5,5,0,0.0808,0.0801,0.0119
66,4,US,5,int,5.5,11,11,6,1.7,x,2.732,0,0.0059,2.129,5,2,3,0.175,0.1255,0.0167
67,4,FI,27,auto,9.5,16,21,5,1.8,x,4.59,0,0.0115,6.78,25,4,1,0.2625,0.092,0.0338
68,4,FI,7,int,5,5,5,1,1.9,,,,,,,,,,,
69,4,FI,11,auto,7,12,19,5,1.7,x,5.626,0,0.0139,6.749,40,5,0,0.3899,0.1107,0.0395
70,4,FI,42,auto,7,9,18,4,1.8,x,4.559,0,0.0102,4.508,12,4,1,0.2402,0.0445,0.0281
71,4,FI,7,auto,4,13,15,5,1.6,,3.19,1.515,0.007,3.706,20,5,0,0.2689,0.0729,0.0221
72,4,US,14,int,8.5,11,13,6,1.9,,2.724,1.764,0.0059,2.771,7,4,1,0.1636,0.0869,0.0202
73,4,US,14,auto,9,9,10,5,1.9,,1.787,1.787,0.0038,1.941,7,5,0,0.088,0.0409,0.007
74,4,FI,11,int,3.5,10,20,6,2,,5.136,5.136,0.0122,6.175,11,5,0,0.371,0.1595,0.0474
75,4,FI,42,int,8.5,14,21,5,1.9,,4.046,4.046,0.012,4.832,7,5,0,0.2399,0.0775,0.0472
76,4,FI,27,int,7,11,20,5,1.7,,7.648,6.654,0.0217,8.505,20,5,0,0.5204,0.3002,0.0773
77,4,US,4,auto,7,10,14,5,1.9,x,4.695,0,0.007,4.38,6,5,0,0.2041,0.112,0.018
