DataCode,RecType,RecYear,PlotID,Treatment,Spnum,Genus,Species,Abundance
PPL01,1,2002,1,N2P1,106,dalea,candida,0.5
PPL01,1,2002,1,N2P1,111,physalis,pumila,1.5
PPL01,1,2002,1,N2P1,128,solidago,missouriensis,2.5
PPL01,1,2002,1,N2P1,14,dichanthelium,oligosanthes,1.75
PPL01,1,2002,1,N2P1,17,poa,pratensis,2.5
PPL01,1,2002,1,N2P1,18,sorghastrum,nutans,20
PPL01,1,2002,1,N2P1,2,andropogon,gerardii,50
PPL01,1,2002,1,N2P1,21,sporobolus,asper,0.25
PPL01,1,2002,1,N2P1,3,andropogon,scoparius,17.5
PPL01,1,2002,1,N2P1,34,carex,meadii,4.25
PPL01,1,2002,1,N2P1,4,bouteloua,curtipendula,10
PPL01,1,2002,1,N2P1,40,amorpha,canescens,2.5
PPL01,1,2002,1,N2P1,58,aster,ericoides,9.5
PPL01,1,2002,1,N2P1,92,linum,sulcatum,0.75
PPL01,1,2002,2,N1P3,121,salvia,azurea,0.5
PPL01,1,2002,2,N1P3,14,dichanthelium,oligosanthes,5
PPL01,1,2002,2,N1P3,17,poa,pratensis,1.5
PPL01,1,2002,2,N1P3,18,sorghastrum,nutans,33.75
PPL01,1,2002,2,N1P3,2,andropogon,gerardii,41.25
PPL01,1,2002,2,N1P3,3,andropogon,scoparius,33.75
PPL01,1,2002,2,N1P3,33,carex,heliophila,5
PPL01,1,2002,2,N1P3,34,carex,meadii,0.5
PPL01,1,2002,2,N1P3,4,bouteloua,curtipendula,9.5
PPL01,1,2002,2,N1P3,40,amorpha,canescens,5
PPL01,1,2002,2,N1P3,46,ambrosia,psilostachya,0.5
PPL01,1,2002,2,N1P3,55,asclepias,verticillata,0.75
PPL01,1,2002,2,N1P3,58,aster,ericoides,31.25
PPL01,1,2002,2,N1P3,86,kuhnia,eupatorioides,0.5
PPL01,1,2002,3,N1P1,11,eragrostis,spectabilis,0.75
PPL01,1,2002,3,N1P1,111,physalis,pumila,2.75
PPL01,1,2002,3,N1P1,120,ruellia,humilis,0.75
PPL01,1,2002,3,N1P1,122,schrankia,nuttallii,2.5
PPL01,1,2002,3,N1P1,137,triodanis,perfoliata,0.75
PPL01,1,2002,3,N1P1,14,dichanthelium,oligosanthes,2
PPL01,1,2002,3,N1P1,17,poa,pratensis,1.5
PPL01,1,2002,3,N1P1,18,sorghastrum,nutans,36.25
PPL01,1,2002,3,N1P1,2,andropogon,gerardii,26.25
PPL01,1,2002,3,N1P1,21,sporobolus,asper,1.75
PPL01,1,2002,3,N1P1,3,andropogon,scoparius,35
PPL01,1,2002,3,N1P1,33,carex,heliophila,3.75
PPL01,1,2002,3,N1P1,338,plantago,patagonica,0.25
PPL01,1,2002,3,N1P1,34,carex,meadii,0.75
PPL01,1,2002,3,N1P1,4,bouteloua,curtipendula,11.25
PPL01,1,2002,3,N1P1,49,antennaria,neglecta,2
PPL01,1,2002,3,N1P1,55,asclepias,verticillata,0.5
PPL01,1,2002,3,N1P1,58,aster,ericoides,12
PPL01,1,2002,3,N1P1,86,kuhnia,eupatorioides,0.5
PPL01,1,2002,3,N1P1,92,linum,sulcatum,0.25
PPL01,1,2002,3,N1P1,93,lithospermum,incisum,0.25
PPL01,1,2002,4,N2P2,106,dalea,candida,2.75
PPL01,1,2002,4,N2P2,11,eragrostis,spectabilis,2
PPL01,1,2002,4,N2P2,111,physalis,pumila,2.75
PPL01,1,2002,4,N2P2,120,ruellia,humilis,0.5
PPL01,1,2002,4,N2P2,123,senecio,plattensis,0.5
PPL01,1,2002,4,N2P2,128,solidago,missouriensis,2.5
PPL01,1,2002,4,N2P2,137,triodanis,perfoliata,0.5
PPL01,1,2002,4,N2P2,14,dichanthelium,oligosanthes,2
PPL01,1,2002,4,N2P2,17,poa,pratensis,4.5
PPL01,1,2002,4,N2P2,18,sorghastrum,nutans,26.25
PPL01,1,2002,4,N2P2,2,andropogon,gerardii,38.75
PPL01,1,2002,4,N2P2,21,sporobolus,asper,2.5
PPL01,1,2002,4,N2P2,3,andropogon,scoparius,35
PPL01,1,2002,4,N2P2,33,carex,heliophila,8.75
PPL01,1,2002,4,N2P2,34,carex,meadii,2
PPL01,1,2002,4,N2P2,4,bouteloua,curtipendula,7.5
PPL01,1,2002,4,N2P2,40,amorpha,canescens,5.75
PPL01,1,2002,4,N2P2,54,asclepias,stenophylla,0.75
PPL01,1,2002,4,N2P2,55,asclepias,verticillata,0.25
PPL01,1,2002,4,N2P2,58,aster,ericoides,5.25
PPL01,1,2002,4,N2P2,86,kuhnia,eupatorioides,0.5
PPL01,1,2002,4,N2P2,92,linum,sulcatum,0.25
PPL01,1,2002,5,N2P1,106,dalea,candida,1.25
PPL01,1,2002,5,N2P1,120,ruellia,humilis,1.5
PPL01,1,2002,5,N2P1,121,salvia,azurea,3.75
PPL01,1,2002,5,N2P1,128,solidago,missouriensis,0.5
PPL01,1,2002,5,N2P1,137,triodanis,perfoliata,0.25
PPL01,1,2002,5,N2P1,14,dichanthelium,oligosanthes,3
PPL01,1,2002,5,N2P1,17,poa,pratensis,6.25
PPL01,1,2002,5,N2P1,18,sorghastrum,nutans,36.25
PPL01,1,2002,5,N2P1,2,andropogon,gerardii,21.25
PPL01,1,2002,5,N2P1,21,sporobolus,asper,1.25
PPL01,1,2002,5,N2P1,3,andropogon,scoparius,31.25
PPL01,1,2002,5,N2P1,33,carex,heliophila,7
PPL01,1,2002,5,N2P1,34,carex,meadii,0.75
PPL01,1,2002,5,N2P1,4,bouteloua,curtipendula,6.5
PPL01,1,2002,5,N2P1,40,amorpha,canescens,0.5
PPL01,1,2002,5,N2P1,55,asclepias,verticillata,0.75
PPL01,1,2002,5,N2P1,56,asclepias,viridis,1.25
PPL01,1,2002,5,N2P1,58,aster,ericoides,3
PPL01,1,2002,5,N2P1,59,aster,oblongifolius,7
PPL01,1,2002,5,N2P1,86,kuhnia,eupatorioides,0.75
PPL01,1,2002,5,N2P1,92,linum,sulcatum,0.25
PPL01,1,2002,6,N1P0,106,dalea,candida,1.5
PPL01,1,2002,6,N1P0,118,ratibida,columnifera,0.5
PPL01,1,2002,6,N1P0,12,koeleria,pyramidata,1.75
PPL01,1,2002,6,N1P0,120,ruellia,humilis,0.5
PPL01,1,2002,6,N1P0,123,senecio,plattensis,0.5
PPL01,1,2002,6,N1P0,125,sisyrinchium,campestre,0.25
PPL01,1,2002,6,N1P0,128,solidago,missouriensis,0.5
PPL01,1,2002,6,N1P0,137,triodanis,perfoliata,0.25
PPL01,1,2002,6,N1P0,14,dichanthelium,oligosanthes,6.25
PPL01,1,2002,6,N1P0,17,poa,pratensis,2
PPL01,1,2002,6,N1P0,18,sorghastrum,nutans,6.5
PPL01,1,2002,6,N1P0,2,andropogon,gerardii,26.25
PPL01,1,2002,6,N1P0,21,sporobolus,asper,3.75
PPL01,1,2002,6,N1P0,3,andropogon,scoparius,56.25
PPL01,1,2002,6,N1P0,33,carex,heliophila,4.5
PPL01,1,2002,6,N1P0,34,carex,meadii,1
PPL01,1,2002,6,N1P0,4,bouteloua,curtipendula,5.25
PPL01,1,2002,6,N1P0,46,ambrosia,psilostachya,0.5
PPL01,1,2002,6,N1P0,55,asclepias,verticillata,0.5
PPL01,1,2002,6,N1P0,58,aster,ericoides,7
PPL01,1,2002,6,N1P0,75,draba,reptans,0.25
PPL01,1,2002,6,N1P0,86,kuhnia,eupatorioides,1.25
PPL01,1,2002,6,N1P0,92,linum,sulcatum,1.25
PPL01,1,2002,7,N1P2,106,dalea,candida,1
PPL01,1,2002,7,N1P2,111,physalis,pumila,3
PPL01,1,2002,7,N1P2,128,solidago,missouriensis,1.75
PPL01,1,2002,7,N1P2,14,dichanthelium,oligosanthes,1
PPL01,1,2002,7,N1P2,141,viola,rafinesquii,0.25
PPL01,1,2002,7,N1P2,17,poa,pratensis,3.25
PPL01,1,2002,7,N1P2,18,sorghastrum,nutans,18.75
PPL01,1,2002,7,N1P2,2,andropogon,gerardii,53.75
PPL01,1,2002,7,N1P2,21,sporobolus,asper,3.75
PPL01,1,2002,7,N1P2,3,andropogon,scoparius,30
PPL01,1,2002,7,N1P2,33,carex,heliophila,2.75
PPL01,1,2002,7,N1P2,34,carex,meadii,4
PPL01,1,2002,7,N1P2,4,bouteloua,curtipendula,5.25
PPL01,1,2002,7,N1P2,40,amorpha,canescens,17.5
PPL01,1,2002,7,N1P2,46,ambrosia,psilostachya,0.25
PPL01,1,2002,7,N1P2,58,aster,ericoides,5.25
PPL01,1,2002,7,N1P2,60,aster,sericeus,2.75
PPL01,1,2002,8,N2P2,11,eragrostis,spectabilis,3.75
PPL01,1,2002,8,N2P2,125,sisyrinchium,campestre,0.25
PPL01,1,2002,8,N2P2,14,dichanthelium,oligosanthes,1
PPL01,1,2002,8,N2P2,17,poa,pratensis,9.5
PPL01,1,2002,8,N2P2,18,sorghastrum,nutans,37.5
PPL01,1,2002,8,N2P2,2,andropogon,gerardii,32.5
PPL01,1,2002,8,N2P2,3,andropogon,scoparius,36.25
PPL01,1,2002,8,N2P2,33,carex,heliophila,2.75
PPL01,1,2002,8,N2P2,34,carex,meadii,0.75
PPL01,1,2002,8,N2P2,4,bouteloua,curtipendula,7
