Yr Mo,Year ,Month,X2 (Km),X10 (Km),Delta Area -- Ppp (Preferred On All Axes),Delta Area - Aaa (Avoided For All Axes),Delta Area --- Paa (Preferred Habitat Type Only),Delta Area -- Ppa (Preferred Type And Depth),Delta Area -- Apa (Preferred Depth),Delta Area -- App (Preferred Depth And Cover),Delta Area -- Aap (Preferred Cover),Delta Area --- Pap (Preferred Type And Cover),Delta Capacity Total,Nbay Area -- Ppp (Preferred On All Axes),Nbay Area - Aaa (Avoided For All Axes),Nbay Area --- Paa (Preferred Substrate Type Only),Nbay Area -- Ppa (Preferred Type And Depth),Nbay Area -- Apa (Preferred Depth),Nbay Area -- App (Preferred Depth And Salinity),Nbay Area -- Aap (Preferred Salinity),Nbay Area --- Pap (Preferred Type And Salinity),Bay Capacity Total,Habitat Total (M2),Record Number,Accessed Date,Source Url,Preferred Citation
193004,1930,4,64.1828536987305,48.1371402740478,68465.3790842711,100050521.943654,7247.8705927,704248.547364689,21685690.6348721,7699444.28342327,31798919.2370497,2216.6145,162016754.510541,4563.2507132,59171530.0613099,38708.67767,3118316.22223755,41210044.8508431,1482113.92263239,3839156.59955358,4920.157119,108869353.742079,270886108.252619,Row 1 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193005,1930,5,70.5018005371094,52.876350402832,54650.4879742058,101680425.417118,13207.8194927,694577.327484734,21204295.7142633,8289676.13856297,31649280.1437508,2342.50314,163588455.551787,10407.6556127,72788501.1820647,486411.019022,2721659.7529214,20373844.5608884,599666.02340318,4559753.85273582,12760.075321,101553004.121969,265141459.673756,Row 2 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193006,1930,6,78.6411743164062,58.9808807373047,68253.6843242711,100276449.137634,8072.8234327,703123.508200689,21729503.0797489,7756410.86197669,31860794.4062114,2328.28844,162404935.789969,4744.9617132,31133312.3445593,39272.52460994,1343063.64464093,33036369.1146028,1152411.42532961,1590154.12337368,4839.368232,68304167.5070615,230709103.29703,Row 3 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193007,1930,7,82.0627593994141,61.5470695495606,66693.2767642711,94950515.1306958,14320.1207427,695208.650060369,22470954.3870452,9181707.91552865,28811536.1041138,3137.67434,156194073.259291,1403.849,26389660.553392,6356.671588,1143664.08791544,14829401.0279377,188694.84029838,876497.28825753,1781.357427,43437459.6758161,199631532.935107,Row 4 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193008,1930,8,84.7773666381836,63.5830249786377,69830.9450642711,106342336.802252,3682.7615596,709416.125854069,18102707.5974762,6515208.97265473,34109830.8334117,1108.5257817,165854122.564054,8578.6821322,19032164.6244472,107142.1064809,1089161.80774924,9873954.74397884,172046.96491058,904957.21378769,3873.642637,31191879.7861236,197046002.350178,Row 5 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193009,1930,9,88.7129211425781,66.5346908569336,69873.5642436445,102026573.215628,3682.7615596,709642.326326358,20852030.8093748,7220786.64472344,32693032.0712015,1108.5257817,163576729.918839,3773.019079,6251721.5804535,40083.55617,903934.689343223,7238109.13462245,81062.03511509,426911.85081108,4933.817449,14950529.6830433,178527259.601882,Row 6 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193010,1930,10,91.8144836425781,68.8608627319336,63571.2078509811,93470955.9307551,11566.13635,687671.528755045,26254465.6930946,10557334.3107627,28219342.9527245,4682.46997329,159269590.230266,8312.6661922,3758751.88924553,30425.1831921,637371.610682933,2282405.93810468,107120.3251296,287555.8233655,2930.890988,7114874.32690054,166384464.557167,Row 7 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193011,1930,11,89.7692718505859,67.3269538879395,66450.9817642711,97189017.1497349,14286.33103704,694754.210870369,23705605.4240684,8810456.16515725,30267734.8409503,3279.94934,160751585.052923,6441.492222,7551425.15597327,56672.80202,802384.303984473,3131140.9324214,98494.63588959,326315.32152118,4700.491499,11977575.1355309,172729160.188453,Row 8 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193012,1930,12,89.4083251953125,67.0562438964844,67488.4372642711,97152618.653909,13921.5621927,696621.020530369,23406774.2863284,8625495.46954996,30332953.548543,2747.04194,160298620.020258,4128.0900132,5226137.11988872,39997.60053,827914.701598485,6368581.4284609,90648.18754011,354927.30157088,5098.616979,12917433.0465813,173216053.066839,Row 9 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193101,1931,1,90.3116149902344,67.7337112426758,66164.2211641511,94113185.7143166,13217.40551432,694640.870380369,24395423.9101212,9594567.13071914,28689255.1924541,3348.61254,157569803.05721,1610.992,4364393.80899727,10293.653787,708306.332823929,3891756.16891333,58601.26556159,282293.246652,2061.965379,9319317.43411412,166889120.491324,Row 10 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193102,1931,2,85.0901565551758,63.8176174163818,86066.5566378596,98920531.0601562,8952.77902,702172.845533613,31627893.7429016,12185863.5187459,28820901.5545022,4418.15517329,172356800.212671,5973.701497,14597627.9759128,48429.197283,1051982.9723696,12097206.6831179,160015.80502189,830062.06401538,4110.394999,28795408.7942166,201152209.006887,Row 11 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193103,1931,3,79.0524215698242,59.2893161773682,64640.2092839511,98330492.023769,12580.92079332,693202.565345369,23339529.2859581,8922361.22565457,30557895.6202891,3925.18987,161924627.040963,8736.7040927,47437245.0793872,498231.439232,1381011.91865823,17109696.9527159,259553.17806768,2220838.81920038,13228.458121,68928542.5494751,230853169.590438,Row 12 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193104,1931,4,80.9812316894531,60.7359237670898,65562.7544441511,97636623.8136336,13140.96282332,693822.286745369,23693179.3095406,8847620.05695666,30499923.2544462,3747.46207,161453619.90066,7417.369656,26942746.6325704,68960.176633,1242210.00390717,27017864.7494616,225881.24584829,1076928.41594328,4768.9219567,56586777.5159765,218040397.416636,Row 13 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193105,1931,5,82.6208724975586,61.9656543731689,68253.6778242711,100858492.350384,8844.5175327,702151.762451369,21473890.431022,7992017.09354923,31809751.1420097,2328.28844,162915729.263213,7482.336256,24917010.2833907,169624.1362999,1128723.64816139,18368787.7376116,213351.5868844,1043854.81019028,7678.267949,45856512.8067433,208772242.069957,Row 14 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193106,1931,6,87.3087844848633,65.4815883636475,63806.0310509811,94807487.0920423,12291.71736332,691483.665707369,25427495.9046169,9635910.23665194,29215937.3359858,4552.30814329,159858964.291562,7580.611256,9562047.54780547,51939.65242,1041748.7547337,7968688.0711506,118513.82420859,422556.20593828,3373.661343,19176448.3288556,179035412.620418,Row 15 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193107,1931,7,90.1480026245117,67.6110019683838,66450.9817642711,95277831.7603379,14087.22103704,694754.210870369,23719401.767357,8956917.33825106,29494320.9516126,3278.99934,158227043.23057,1911.1797,4580833.33802274,12149.254787,725108.634792413,4274362.10195273,59687.24591459,297259.50753,2216.9110132,9953528.17371267,168180571.404283,Row 16 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
193108,1931,8,90.7321090698242,68.0490818023682,68253.6865242711,99224358.0904887,8072.8234327,703117.643020144,22204402.350947,8033925.43266156,31329557.6204349,2328.28844,161574015.935949,3304.592499,4182233.34288932,38216.60327,669640.768975563,3572296.9577803,68776.05626609,293479.51833208,5099.201329,8833047.04134135,170407062.977291,Row 17 of 984,Accessed on 2023-10-26 12:48:49,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario,"Imaki, Hiroo; 02/13/2017. NOAA Fisheries Northwest Fisheries Science Center. Habitat capacity for Sacramento delta: Sacramento Winter run life cycle model, estuary habitat capacity model run results (Level one scenario). (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sacramento_winter_run_life_cycle_model_estuary_habitat_capacity_model_run_results_level_one_scenario)"
