Day;Count;Treatment;Period;TotalShorebirds;Limosa_haemastica;Numenius_phaeopus;Calidris_bairdii;Haematopus_palliatus;Vanellus_chilensis;Calidris_canutus
1;1;Cultivated;2;2;0;2;0;0;0;0
1;1;Control;2;0;0;0;0;0;0;0
10;2;Control;2;0;0;0;0;0;0;0
10;2;Cultivated;2;1;0;1;0;0;0;0
10;3;Cultivated;2;4;0;3;0;0;0;1
10;3;Control;2;0;0;0;0;0;0;0
12;4;Cultivated;2;0;0;0;0;0;0;0
12;4;Control;2;1;0;1;0;0;0;0
12;5;Cultivated;2;1;0;1;0;0;0;0
12;5;Control;2;0;0;0;0;0;0;0
12;6;Cultivated;2;10;5;0;0;0;0;5
12;6;Control;2;10;0;0;0;0;0;10
13;7;Cultivated;2;3;0;2;0;0;1;0
13;7;Control;2;0;0;0;0;0;0;0
13;8;Cultivated;2;0;0;0;0;0;0;0
13;8;Control;2;0;0;0;0;0;0;0
13;9;Cultivated;2;0;0;0;0;0;0;0
13;9;Control;2;0;0;0;0;0;0;0
14;10;Cultivated;2;0;0;0;0;0;0;0
14;10;Control;2;0;0;0;0;0;0;0
15;11;Cultivated;2;2;0;0;0;0;2;0
15;11;Control;2;0;0;0;0;0;0;0
15;12;Cultivated;2;0;0;0;0;0;0;0
15;12;Control;2;0;0;0;0;0;0;0
16;13;Cultivated;2;1;0;1;0;0;0;0
16;13;Control;2;0;0;0;0;0;0;0
101;14;Cultivated;2;0;0;0;0;0;0;0
101;14;Control;2;0;0;0;0;0;0;0
108;15;Cultivated;3;1;0;1;0;0;0;0
108;15;Control;3;2;0;0;0;0;2;0
108;16;Cultivated;3;1;0;1;0;0;0;0
108;16;Control;3;0;0;0;0;0;0;0
108;17;Cultivated;3;12;10;2;0;0;0;0
108;17;Control;3;0;0;0;0;0;0;0
116;18;Cultivated;3;3;3;0;0;0;0;0
116;18;Control;3;0;0;0;0;0;0;0
117;19;Cultivated;3;6;2;4;0;0;0;0
117;19;Control;3;8;8;0;0;0;0;0
125;20;Cultivated;3;1;0;0;0;0;1;0
125;20;Control;3;0;0;0;0;0;0;0
