BirdID;PreyPerMinute;MeanLenghtPreyMinute;Treatment;Period;PlotID
1;4.54;NA;Cultivated;3;Q5
2;7.95;NA;Cultivated;3;Q5
3;8;12.44;Control;3;Q6
3;9.54;16.29;Cultivated;3;Q7
4;8;18.7;Cultivated;3;Q7
5;7.5;20;Cultivated;3;Q7
6;8.4;15.27;Control;3;Q6
6;8.13;NA;Cultivated;3;Q5
7;7.53;NA;Cultivated;3;Q1
8;8.3;NA;Cultivated;3;Q7
8;12.33;17.9;Control;3;Q6
9;7.28;NA;Cultivated;3;Q1
10;6.2;12.39;Cultivated;3;Q5
11;5.09;NA;Cultivated;3;Q5
11;8.27;NA;Cultivated;3;Q3
12;5.06;NA;Cultivated;3;Q7
12;12.94;NA;Control;3;Q6
13;7.41;NA;Cultivated;3;Q7
13;5.6;NA;Control;3;Q2
14;6.75;NA;Cultivated;3;Q3
14;8;NA;Cultivated;3;Q5
15;6.94;NA;Cultivated;3;Q5
16;10;NA;Control;3;Q6
16;8.25;NA;Cultivated;3;Q7
17;8.07;NA;Cultivated;3;Q3
17;5.22;NA;Cultivated;3;Q7
18;8.3;18.27;Cultivated;3;Q7
19;6.05;NA;Cultivated;3;Q5
19;8.57;NA;Control;3;Q6
20;11.4;18;Control;3;Q4
21;8.35;NA;Control;3;Q6
22;11.93;14.18;Control;3;Q6
23;6.94;13.89;Control;3;Q8
23;8.42;14.2;Cultivated;3;Q1
24;6.61;NA;Control;3;Q6
24;7.59;NA;Cultivated;3;Q7
25;7.57;NA;Cultivated;2;Q5
26;4.8;NA;Cultivated;2;Q5
26;9.9;NA;Control;2;Q6
27;8.29;NA;Cultivated;2;Q3
28;6.43;NA;Cultivated;2;Q5
28;8.1;NA;Cultivated;2;Q3
29;7.8;NA;Cultivated;2;Q3
30;7.09;NA;Cultivated;2;Q7
31;8.36;NA;Cultivated;2;Q7
32;5.59;NA;Cultivated;2;Q7
33;7.5;14.09;Cultivated;2;Q1
33;7.06;NA;Cultivated;2;Q3
34;5.34;NA;Cultivated;2;Q5
35;7.27;10;Cultivated;2;Q1
36;6.09;NA;Cultivated;2;Q3
37;8.65;NA;Cultivated;2;Q1
38;5.92;NA;Cultivated;2;Q3
39;7.71;NA;Cultivated;2;Q3
40;6.59;9.8;Cultivated;2;Q7
41;6.48;NA;Cultivated;2;Q5
42;4.11;NA;Cultivated;2;Q5
42;9.12;19.2;Cultivated;2;Q3
42;12.3;25;Cultivated;2;Q7
43;16.5;NA;Control;2;Q2
43;16.33;NA;Cultivated;2;Q7
43;14.4;NA;Cultivated;2;Q3
44;6.55;17.82;Cultivated;2;Q1
45;7.62;17.9;Cultivated;2;Q3
46;4.38;12.7;Cultivated;2;Q7
47;6.55;16.36;Cultivated;2;Q3
48;7.31;19.41;Cultivated;2;Q3
49;7.97;NA;Cultivated;2;Q7
50;5.71;NA;Cultivated;2;Q5
51;5.74;7.02;Cultivated;2;Q1
51;3.55;7.1;Control;2;Q8
52;3.12;NA;Control;2;Q8
53;8.11;13.58;Control;2;Q8
54;7.2;NA;Cultivated;2;Q5
55;6.11;NA;Cultivated;2;Q5
