"Supplementary Material: plant community composition (average % cover), environmental variables, plant species traits, species codes, park codes, and sample plot locations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park,ACCI,ACMA3 - T,ACMA3 - S,ACPL - T,ACPL - S,ACRU,ACSA2,ACMI2,ACTR,AEHI,AGCA5,AGGI2,ALPE4,ALRU2,ANOD,ATFI,AZFI,BEPE2,BEPA,BROMU,CADE27,CAOB3 ,CADE8,CAFE4,CAUN3,CAREXUNK1,CAREXUNK2,CARPI,CEHA2,CHLA,CIMA2,CIAL,CIVU,CLKE,CLSI2,CLVI6,COAR4,COSE16,CORYL2,COCO6,COLA18,CRDO2,CRMO3,DAGL,DAFR6,DACA6,DIAR,DISA,DIFU2,ELGL ,EPCI,EPIME ,EQAR,EQTE,EUAM9 ,EUCH13 ,FRPU7 ,FRLA - T,FRLA - S,GAAP2,GASH,GELU ,GEMO ,GERO,GEMA4,GIBI2,GLTR ,GLYCE ,HEHE ,HELLE1,HELLE2,HOLA,HODI,HORDE ,HYDRA,HYTE,HYCA10,HYRA3,ILAQ80 ,ILCO80 ,IMPAT,JURE80,JUEF,LASE,LACO3,LARIX,LEMI3,LIST2 - T,LIST2 - S,LITU,LOPE ,LONI5,LYNU,MAAQ2,MAHON,MANE2,MARE11,MARA7,MAST4,MANE,MADI6,MELU,MEGL8,MYMU,NADO,NYSY,OECE,OSCH,OXOR,PHAR3,PHCA11,PIAB,PIPU,PIJA3,PLLA,PLMA2,POAN,POPR ,POAV,POGL8,POMU,POBA2 - T,POBA2 - S,PRHO2,PRVU,PRLA5,PRUNU,PSME - T,PSME - S,PTAQ,PYCA80,QUAL,QUPH,QURU - T,QURU - S,RAOC,RARE3,RHODO ,RHODO2,RONU,ROMU,ROSASP,RUAR9,RULA,RUPA,RUSP,RUUR,RUCR,SALU ,SASC - T,SASC - S,SARA2,SARCON,SCIRP,SCAR7,SEGI2,SIOF,SODU,SOAS,SOSC2,SPDO,SPJA,STCH,STME2,SYAL,TAOF,TEGR2,TITR,TOME,THOC2,THPL - T,THPL - S,TRPR2,TRRE3,TRAL4,TROV2,TSHE - T,TSHE - S,ULMUS - T,ULMUS - S,URDI,VAOV2,VAHE,VEAR,VIAM,VIGL,VUMY,YUFI,ZESE80
Big Four Corners Natural Area,0,2,2,0,0,0,0,0,0,0,0.04,0,0,17.4,0,0.4,0,0,1.4,0,0,0,0,0,0,0,0.4,0,0,0,3.2,0.08,1.8,0,0,0,1.4,22,0,5.1,0.6,6,1.4,0,0,0,0,0,0.6,0,0,0,0,2,0,0,1,10,4.8,0.84,0,0,0,8.44,0.16,0,0,0,1.4,0,0,0.48,0,0,0,0.12,0,0,0.2,0,11.52,0,0.2,0,0.64,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.08,0,0,0,0.2,0,0,1.4,0,0,0.8,1,0,0,0,0,0,0,7.8,0,0.12,7.8,8,2.4,0,0,0,0,8,0.8,0,2,0,0,0,0,0,0,0,0,5.6,1.2,0,7.2,0,1.4,0,11,0,13,1,2.4,1,0,0,0,0,0,1.4,0,0,0,0,0,0,3,0.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.28,0,0,0.04,0,0,0,0,0
Brentwood Park,0,0,0,2,0,0,0,3.12,0,0,1,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,5,0,0,0,0,0,0,0,0,18.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.38,0,4,0,0,0,0,0,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Park,0,0,0,8,0,0,0,0,0,0,11.6,0,0,0,0,0,0,1.16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.78,25.4,12.96,0.12,0,0,0,0,0,0.82,0,3,29,0,0,0,0,0,2,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,4,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Benedict Park,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.52,0,0.08,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.04,0,0.04,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,0.12,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0.48,0.04,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,41.8,2,0,0,0,0,0,0,0,3,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.6,0,0,0.4,0,0,0,1.28,0,0,0,0,3.4,0,0.4,5.84,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
Forest Park,2.2,21,5.4,0,0,0,0,0,2.08,0,0.4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.6,0.2,0,0,0,6.2,0,0,0,0.4,0,0,0.08,0,0,0.2,0,0,0,0,0,0.6,0,0,3,0.1,0,0,0,0,11,0,0.6,0,1.6,2.2,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0.2,0,0,0,18,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0.4,0,5.4,7,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.16,0,0,0.8,0,11.4,3,0,0,0.12,0.12,17,3,0,0,0,5.4,3.8,0,0,0,0,0,0
George Himes Park,2,61,15,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0.08,6,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0.28,0,0,0,1.08,6,0,0,0,39,0,0,0,0,0,0,3.5,0,0,0.4,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.08,0,0,28,1.22,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0.7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,10.8,0,10,0.8,0,0,0,2.4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2.8,0,4.64,0,0,0,0,0,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Jamison Square,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Khunamokwst Park,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0.6,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0.08,0,0,35.68,0.02,0,2,0,0,0,0,0.1,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,12.84,0,0,0,0,0,0.2,0,0,0,0,0.04,0,0,0,0
North Swan Island Boat Ramp,0,0,0.2,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,2,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.4,0,4,0.6,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oaks Bottom Wildlife Refuge,0,14,0.4,0,0,0.1,0,0,0,0,5.4,0.16,0.6,0,0.12,0,3.2,0,0,0,0,5.6,1.68,0.6,0.04,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.6,0,0,0.7,0,0,0.12,0.04,0,0,1.2,0,0,0,0,0,0,0,15,5.2,0,0,0,0,0.04,0,0,0,0,0.2,0,0,5.8,0,0,0,0,0,0,0.1,0,0,0,0,0,0.24,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,0.2,0,0,0,0,0,0,0,0,0,0,2,4.1,0,0,0,0,3,0,0,0,0,0,0,0.1,0,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,12,5,0.7,0,0,0.04,0,0,1.4,0,0,0.2,0,0,0,0.4,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
