Genotype	Replicate	ID	Chamber	Species	Census	Growth.days	Juvenile	Apterous	Alate	Sum
1	1	1_01	2	A.asc	1	4	5	4	1	10
1	1	1_01	2	A.asc	2	7	20	3	1	24
1	1	1_01	2	A.asc	3	10	26	2	0	28
1	1	1_01	2	A.asc	4	13	36	11	0	47
1	1	1_01	2	A.asc	5	17	95	9	1	105
1	2	1_02	2	A.asc	1	5	3	5	0	8
1	2	1_02	2	A.asc	2	7	12	7	0	19
1	2	1_02	2	A.asc	3	10	51	9	0	60
1	2	1_02	2	A.asc	4	13	161	23	2	186
1	2	1_02	2	A.asc	5	17	403	40	8	451
1	3	1_03	1	A.asc	1	4	12	5	0	17
1	3	1_03	1	A.asc	2	7	21	7	0	28
1	3	1_03	1	A.asc	3	10	68	9	0	77
1	3	1_03	1	A.asc	4	13	118	11	2	131
1	3	1_03	1	A.asc	5	17	94	15	7	116
1	4	1_04	1	A.ner	1	3	10	5	0	15
1	4	1_04	1	A.ner	2	6	27	8	0	35
1	4	1_04	1	A.ner	3	9	41	21	4	66
1	4	1_04	1	A.ner	4	13	344	23	11	378
1	4	1_04	1	A.ner	5	17	503	32	21	556
1	5	1_05	2	M.per	1	4	12	5	0	17
1	5	1_05	2	M.per	2	7	43	8	0	51
1	5	1_05	2	M.per	3	10	101	14	0	115
1	5	1_05	2	M.per	4	13	165	26	0	191
1	5	1_05	2	M.per	5	17	285	42	2	329
1	6	1_06	1	A.ner	1	3	27	4	1	32
1	6	1_06	1	A.ner	2	6	42	14	1	57
1	6	1_06	1	A.ner	3	9	95	13	1	109
1	6	1_06	1	A.ner	4	13	665	48	3	716
1	6	1_06	1	A.ner	5	17	687	52	27	766
1	7	1_07	2	M.asc	1	4	4	0	3	7
1	7	1_07	2	M.asc	2	7	15	0	4	19
1	7	1_07	2	M.asc	3	10	9	0	3	12
1	7	1_07	2	M.asc	4	13	11	0	3	14
1	7	1_07	2	M.asc	5	18	21	0	3	24
1	8	1_08	1	M.per	1	4	11	5	0	16
1	8	1_08	1	M.per	2	7	44	9	0	53
1	8	1_08	1	M.per	3	10	57	17	0	74
1	8	1_08	1	M.per	4	13	193	36	0	229
1	8	1_08	1	M.per	5	17	350	36	0	386
1	9	1_09	2	A.ner	1	3	2	4	1	7
1	9	1_09	2	A.ner	2	6	40	6	1	47
1	9	1_09	2	A.ner	3	9	115	21	1	137
1	9	1_09	2	A.ner	4	12	481	29	1	511
1	9	1_09	2	A.ner	5	16	743	52	25	820
1	11	1_11	1	A.asc	1	4	9	5	0	14
1	11	1_11	1	A.asc	2	7	29	4	0	33
1	11	1_11	1	A.asc	3	10	51	8	0	59
1	11	1_11	1	A.asc	4	14	191	32	3	226
1	11	1_11	1	A.asc	5	18	190	61	10	261
1	12	1_12	2	M.asc	1	4	26	0	4	30
1	12	1_12	2	M.asc	2	7	41	0	4	45
1	12	1_12	2	M.asc	3	10	45	0	4	49
1	12	1_12	2	M.asc	4	13	NA	NA	NA	NA
1	12	1_12	2	M.asc	5	17	NA	NA	NA	NA
1	13	1_13	2	A.ner	1	4	13	5	0	18
1	13	1_13	2	A.ner	2	6	43	9	0	52
1	13	1_13	2	A.ner	3	9	152	21	3	176
1	13	1_13	2	A.ner	4	12	440	30	2	472
1	13	1_13	2	A.ner	5	16	952	43	36	1031
1	14	1_14	1	M.per	1	4	29	5	0	34
1	14	1_14	1	M.per	2	7	57	10	0	67
1	14	1_14	1	M.per	3	10	81	11	0	92
1	14	1_14	1	M.per	4	13	227	34	0	261
1	14	1_14	1	M.per	5	17	310	27	0	337
1	15	1_15	1	M.asc	1	3	22	0	4	26
1	15	1_15	1	M.asc	2	6	65	0	2	67
1	15	1_15	1	M.asc	3	9	88	0	2	90
1	15	1_15	1	M.asc	4	13	136	0	30	166
1	15	1_15	1	M.asc	5	17	143	0	41	184
1	17	1_17	2	M.per	1	4	25	5	0	30
1	17	1_17	2	M.per	2	7	57	14	0	71
1	17	1_17	2	M.per	3	10	151	29	0	180
1	17	1_17	2	M.per	4	13	397	39	0	436
1	17	1_17	2	M.per	5	17	500	30	0	530
1	18	1_18	1	M.asc	1	3	20	0	4	24
1	18	1_18	1	M.asc	2	6	49	0	4	53
1	18	1_18	1	M.asc	3	9	66	0	2	68
1	18	1_18	1	M.asc	4	13	61	0	14	75
1	18	1_18	1	M.asc	5	17	38	0	26	64
3	1	3_01	1	A.asc	1	4	6	5	0	11
3	1	3_01	1	A.asc	2	7	45	6	0	51
3	1	3_01	1	A.asc	3	10	73	10	0	83
3	1	3_01	1	A.asc	4	14	286	44	8	338
3	1	3_01	1	A.asc	5	18	379	51	29	459
3	2	3_02	1	A.ner	1	3	7	5	0	12
3	2	3_02	1	A.ner	2	6	31	5	0	36
3	2	3_02	1	A.ner	3	9	57	7	0	64
3	2	3_02	1	A.ner	4	13	298	34	1	333
3	2	3_02	1	A.ner	5	17	432	41	3	476
3	3	3_03	1	M.asc	1	3	26	0	2	28
3	3	3_03	1	M.asc	2	6	51	0	2	53
3	3	3_03	1	M.asc	3	9	65	0	7	72
3	3	3_03	1	M.asc	4	13	183	0	28	211
3	3	3_03	1	M.asc	5	16	104	0	33	137
3	4	3_04	2	A.asc	1	5	25	3	2	30
3	4	3_04	2	A.asc	2	7	36	9	2	47
3	4	3_04	2	A.asc	3	10	117	21	2	140
3	4	3_04	2	A.asc	4	13	280	18	4	302
3	4	3_04	2	A.asc	5	17	412	88	21	521
3	5	3_05	1	M.asc	1	3	26	0	5	31
3	5	3_05	1	M.asc	2	6	58	0	4	62
3	5	3_05	1	M.asc	3	9	79	0	3	82
3	5	3_05	1	M.asc	4	13	39	0	20	59
3	5	3_05	1	M.asc	5	17	10	0	27	37
3	6	3_06	2	M.asc	1	4	19	0	4	23
3	6	3_06	2	M.asc	2	7	28	0	5	33
3	6	3_06	2	M.asc	3	10	31	0	4	35
3	6	3_06	2	M.asc	4	13	20	0	8	28
3	6	3_06	2	M.asc	5	17	33	0	17	50
3	7	3_07	1	M.per	1	4	16	5	0	21
3	7	3_07	1	M.per	2	7	42	5	0	47
3	7	3_07	1	M.per	3	10	89	19	0	108
3	7	3_07	1	M.per	4	14	315	38	0	353
3	7	3_07	1	M.per	5	18	456	28	1	485
3	8	3_08	2	M.asc	1	4	19	0	5	24
3	8	3_08	2	M.asc	2	7	27	0	3	30
3	8	3_08	2	M.asc	3	10	35	0	2	37
3	8	3_08	2	M.asc	4	13	28	0	11	39
3	8	3_08	2	M.asc	5	18	65	0	25	90
3	9	3_09	1	M.per	1	4	14	5	0	19
3	9	3_09	1	M.per	2	7	34	5	0	39
3	9	3_09	1	M.per	3	10	43	6	0	49
3	9	3_09	1	M.per	4	14	187	26	0	213
3	9	3_09	1	M.per	5	18	318	34	0	352
3	10	3_10	2	A.ner	1	3	17	5	0	22
3	10	3_10	2	A.ner	2	6	34	14	0	48
3	10	3_10	2	A.ner	3	9	257	33	0	290
3	10	3_10	2	A.ner	4	12	650	28	1	679
3	10	3_10	2	A.ner	5	14	692	133	39	864
3	11	3_11	2	A.ner	1	3	5	5	0	10
3	11	3_11	2	A.ner	2	6	45	4	1	50
3	11	3_11	2	A.ner	3	9	71	19	1	91
3	11	3_11	2	A.ner	4	12	272	23	2	297
3	11	3_11	2	A.ner	5	16	587	39	24	650
3	12	3_12	2	M.per	1	4	20	5	0	25
3	12	3_12	2	M.per	2	7	39	8	0	47
3	12	3_12	2	M.per	3	10	73	16	0	89
3	12	3_12	2	M.per	4	13	106	32	0	138
3	12	3_12	2	M.per	5	17	276	37	0	313
3	14	3_14	1	A.asc	1	4	5	5	0	10
3	14	3_14	1	A.asc	2	7	7	5	0	12
3	14	3_14	1	A.asc	3	10	8	5	0	13
3	14	3_14	1	A.asc	4	13	23	8	0	31
3	14	3_14	1	A.asc	5	17	44	18	4	66
3	15	3_15	1	A.ner	1	3	3	5	0	8
3	15	3_15	1	A.ner	2	6	43	5	0	48
3	15	3_15	1	A.ner	3	9	61	16	0	77
3	15	3_15	1	A.ner	4	12	118	36	9	163
3	15	3_15	1	A.ner	5	16	318	25	18	361
3	16	3_16	2	A.asc	1	4	5	4	1	10
3	16	3_16	2	A.asc	2	7	17	3	1	21
3	16	3_16	2	A.asc	3	10	17	4	1	22
3	16	3_16	2	A.asc	4	13	17	5	0	22
