Genotype	RGR.an	RGR.ma	RGR.mp	C.N	Plant.AGR	Card.tot	Card.apo	Card.pol
1	0.3666279	0.10522747	0.2628057	15.029862	0.2559417	978.6886	455.9454	502.2129
3	0.3428714	0.09097828	0.240849	10.770952	0.3020993	1194.6434	578.5804	597.136
5	0.2887549	0.13876647	0.2490208	12.317073	0.25519	1105.4495	468.661	616.6932
7	0.3316357	0.17531124	0.2381777	12.593202	0.2824097	920.502	415.7867	494.8497
11	0.3134354	0.08761577	0.1959322	10.926268	0.2679319	1032.8989	484.5758	528.0003
13	0.3321614	0.09775375	0.2404762	11.532707	0.3299128	1139.4887	535.6886	578.1018
15	0.3595238	0.12105251	0.2320589	13.322694	0.2969466	1106.2334	504.8863	588.2015
17	0.2790707	0.07241302	0.1976444	14.331597	0.2690509	1190.4779	478.301	696.5525
21	0.3209693	0.14052099	0.2000259	12.815922	0.2867112	908.3049	450.9845	447.0625
23	0.3733682	0.11981531	0.2673006	11.831572	0.3272897	1177.4157	481.9379	682.6092
25	0.3569098	0.12497072	0.2484696	11.697847	0.3376119	1092.475	548.5744	534.1998
27	0.3345638	0.12520114	0.2236766	9.876319	0.2703277	1253.3373	493.3241	753.3301
31	0.3045389	0.16307914	0.2294181	17.965017	0.2523087	799.2664	360.569	431.4471
33	0.2694073	0.11035337	0.2216469	13.134853	0.243143	1023.8038	492.7101	525.361
35	0.275072	0.08678055	0.2005377	13.368061	0.3024833	1035.0942	457.173	565.5172
37	0.3035627	0.13161508	0.2368964	13.858753	0.2551811	947.2965	419.3844	517.468
41	0.301517	0.12725507	0.2550237	10.938521	0.2784726	1090.4421	504.6294	576.473
43	0.3309197	0.1259409	0.2062557	10.21752	0.3067437	1089.9858	553.7753	531.7805
45	0.314129	0.15277103	0.2353035	12.343535	0.216923	1096.0322	465.8308	617.3944
47	0.2888084	0.12528267	0.236127	11.128776	0.2469156	929.1715	454.4062	454.0361
