Genotype	Replicate	Chamber	Honeydew.mass	Species	Aphid.start	Aphid.end	Exposure.time	Cumulative.aphids	day1	day2	day3	day4	day5
1	1	2	2.508	A.asc	47	105	4	333	61.5	76	90.5	105	NA
1	2	2	11.6522	A.asc	186	451	4	1406.5	252.25	318.5	384.75	451	NA
1	3	1	12.5047	A.asc	131	116	4	486.5	127.25	123.5	119.75	116	NA
1	4	1	52.0495	A.ner	378	556	4	1957	422.5	467	511.5	556	NA
1	5	2	3.4938	M.per	191	329	4	1109	225.5	260	294.5	329	NA
1	6	1	28.2159	A.ner	716	766	4	2989	728.5	741	753.5	766	NA
1	7	2	4.4436	M.asc	14	24	5	100	16	18	20	22	24
1	8	1	0.9628	M.per	229	386	4	1308.5	268.25	307.5	346.75	386	NA
1	9	2	15.7191	A.ner	511	820	4	2816.5	588.25	665.5	742.75	820	NA
1	11	1	4.5573	A.asc	226	261	4	991.5	234.75	243.5	252.25	261	NA
1	12	2	3.0994	M.asc	21	29	4	104	23	25	27	29	NA
1	13	2	52.902	A.ner	472	1031	4	3285.5	611.75	751.5	891.25	1031	NA
1	14	1	5.1277	M.per	261	337	4	1234	280	299	318	337	NA
1	15	1	46.0125	M.asc	166	184	4	709	170.5	175	179.5	184	NA
1	17	2	3.5859	M.per	436	530	4	1979	459.5	483	506.5	530	NA
1	18	1	7.0731	M.asc	75	64	4	272.5	72.25	69.5	66.75	64	NA
3	1	1	21.8012	A.asc	338	459	4	1654.5	368.25	398.5	428.75	459	NA
3	2	1	72.2054	A.ner	333	476	4	1689.5	368.75	404.5	440.25	476	NA
3	3	1	10.5628	M.asc	211	137	3	485	186.3333333	161.6666667	137	NA	NA
3	4	2	24.4966	A.asc	302	521	4	1755.5	356.75	411.5	466.25	521	NA
3	5	1	18.1348	M.asc	59	37	4	181	53.5	48	42.5	37	NA
3	6	2	4.2669	M.asc	28	50	4	167	33.5	39	44.5	50	NA
3	7	1	4.0331	M.per	353	485	4	1742	386	419	452	485	NA
3	8	2	9.7904	M.asc	39	90	5	348	49.2	59.4	69.6	79.8	90
3	9	1	0.7376	M.per	213	352	4	1199.5	247.75	282.5	317.25	352	NA
3	10	2	NA	A.ner	679	864	2	1635.5	771.5	864	NA	NA	NA
3	11	2	66.6142	A.ner	297	650	4	2070.5	385.25	473.5	561.75	650	NA
3	12	2	8.3182	M.per	138	313	4	989.5	181.75	225.5	269.25	313	NA
3	14	1	2.2072	A.asc	31	66	4	211.5	39.75	48.5	57.25	66	NA
3	15	1	65.4941	A.ner	163	361	4	1147	212.5	262	311.5	361	NA
3	16	2	2.7894	A.asc	22	122	4	338	47	72	97	122	NA
3	17	2	2.4767	M.per	302	513	4	1735.5	354.75	407.5	460.25	513	NA
5	1	2	58.7485	A.ner	75	339	4	960	141	207	273	339	NA
5	3	2	17.3899	A.ner	182	257	4	915.5	200.75	219.5	238.25	257	NA
5	4	2	18.6309	A.asc	395	739	4	2440	481	567	653	739	NA
5	6	1	16.645	M.per	190	278	4	980	212	234	256	278	NA
5	7	1	2.4586	A.asc	251	288	4	1096.5	260.25	269.5	278.75	288	NA
5	8	1	3.7355	M.asc	29	35	4	131	30.5	32	33.5	35	NA
5	9	2	28.6731	M.asc	98	179	5	733	114.2	130.4	146.6	162.8	179
5	10	1	68.8669	A.ner	181	330	4	1096.5	218.25	255.5	292.75	330	NA
5	11	1	41.7042	M.asc	212	248	4	938	221	230	239	248	NA
5	12	1	72.011	A.ner	332	512	4	1778	377	422	467	512	NA
5	13	2	43.7842	M.asc	61	193	5	701	87.4	113.8	140.2	166.6	193
5	14	1	9.0755	M.per	273	317	4	1202	284	295	306	317	NA
5	15	2	7.462	A.asc	119	308	4	948.5	166.25	213.5	260.75	308	NA
5	16	1	7.6596	A.asc	216	380	4	1274	257	298	339	380	NA
5	17	2	4.0198	M.per	171	428	4	1326.5	235.25	299.5	363.75	428	NA
5	18	2	1.5509	M.per	287	723	4	2238	396	505	614	723	NA
7	1	2	15.5214	A.ner	129	331	4	1021	179.5	230	280.5	331	NA
7	3	1	19.1517	A.ner	233	601	4	1852	325	417	509	601	NA
7	4	2	29.3675	M.asc	247	482	4	1575.5	305.75	364.5	423.25	482	NA
7	5	2	17.3325	M.asc	288	445	4	1544.5	327.25	366.5	405.75	445	NA
7	6	2	1.7185	M.per	233	307	4	1117	251.5	270	288.5	307	NA
7	7	1	8.4498	A.asc	170	160	4	655	167.5	165	162.5	160	NA
7	8	2	48.5728	A.ner	478	725	4	2529.5	539.75	601.5	663.25	725	NA
7	9	2	1.5023	M.per	244	402	4	1371	283.5	323	362.5	402	NA
7	10	2	5.2642	A.asc	122	238	4	778	151	180	209	238	NA
7	12	1	8.0311	M.asc	100	186	4	615	121.5	143	164.5	186	NA
7	13	1	35.3914	M.asc	154	244	4	841	176.5	199	221.5	244	NA
7	14	1	5.9304	M.per	395	230	4	1167.5	353.75	312.5	271.25	230	NA
7	15	2	0.1154	A.asc	13	38	4	114.5	19.25	25.5	31.75	38	NA
7	16	1	14.7956	A.ner	354	564	4	1941	406.5	459	511.5	564	NA
7	17	1	7.085	A.asc	31	93	4	279	46.5	62	77.5	93	NA
7	18	1	14.4793	M.per	81	120	4	421.5	90.75	100.5	110.25	120	NA
11	1	1	1.4145	M.asc	38	39	4	154.5	38.25	38.5	38.75	39	NA
11	2	1	3.605	M.per	85	83	4	335	84.5	84	83.5	83	NA
11	4	1	20.0411	A.ner	186	484	4	1489	260.5	335	409.5	484	NA
11	5	2	0.435	M.asc	23	12	5	82	20.8	18.6	16.4	14.2	12
11	6	1	8.5693	A.asc	210	179	4	762.5	202.25	194.5	186.75	179	NA
11	7	1	13.3679	A.asc	34	74	4	236	44	54	64	74	NA
