Genotype	Replicate	ID	Chamber	Species	Census	Age	Age.aph.int	Leaves	Nodes	Height
1	1	1_01	2	A.asc	1	16	28	6	3	3.25
1	1	1_01	2	A.asc	2	20	28	6	3	4.8
1	1	1_01	2	A.asc	3	24	28	8	4	5.68
1	1	1_01	2	A.asc	4	27	28	8	4	6.59
1	1	1_01	2	A.asc	5	32	28	10	5	9.3
1	1	1_01	2	A.asc	6	35	28	12	6	10.38
1	1	1_01	2	A.asc	7	38	28	14	7	10.63
1	1	1_01	2	A.asc	8	41	28	12	6	11.7
1	1	1_01	2	A.asc	9	45	28	12	6	12.04
1	2	1_02	2	A.asc	1	14	26	4	2	2.96
1	2	1_02	2	A.asc	2	18	26	6	3	3.9
1	2	1_02	2	A.asc	3	22	26	6	3	4.83
1	2	1_02	2	A.asc	4	25	26	6	3	5.58
1	2	1_02	2	A.asc	5	31	26	8	4	6.9
1	2	1_02	2	A.asc	6	33	26	8	4	7.22
1	2	1_02	2	A.asc	7	36	26	7	4	8.06
1	2	1_02	2	A.asc	8	39	26	7	4	8.76
1	2	1_02	2	A.asc	9	43	26	7	4	8.35
1	3	1_03	1	A.asc	1	14	28	4	2	2.53
1	3	1_03	1	A.asc	2	18	28	6	3	3.43
1	3	1_03	1	A.asc	3	22	28	6	3	4.22
1	3	1_03	1	A.asc	4	25	28	6	3	4.7
1	3	1_03	1	A.asc	5	32	28	8	4	6.4
1	3	1_03	1	A.asc	6	35	28	10	5	7.03
1	3	1_03	1	A.asc	7	38	28	6	3	6.85
1	3	1_03	1	A.asc	8	41	28	6	3	7.43
1	3	1_03	1	A.asc	9	45	28	2	1	7.58
1	4	1_04	1	A.ner	1	14	29	4	2	3.48
1	4	1_04	1	A.ner	2	18	29	6	3	4.51
1	4	1_04	1	A.ner	3	22	29	6	3	5.59
1	4	1_04	1	A.ner	4	25	29	6	3	6.44
1	4	1_04	1	A.ner	5	32	29	8	4	7.44
1	4	1_04	1	A.ner	6	35	29	10	5	8
1	4	1_04	1	A.ner	7	38	29	7	4	8.46
1	4	1_04	1	A.ner	8	42	29	7	4	8.06
1	4	1_04	1	A.ner	9	46	29	9	5	8.28
1	5	1_05	2	M.per	1	14	26	4	2	2.87
1	5	1_05	2	M.per	2	18	26	6	3	4.03
1	5	1_05	2	M.per	3	22	26	8	4	5.62
1	5	1_05	2	M.per	4	25	26	6	3	6.35
1	5	1_05	2	M.per	5	30	26	8	4	7.96
1	5	1_05	2	M.per	6	33	26	10	5	8.73
1	5	1_05	2	M.per	7	36	26	10	5	9.41
1	5	1_05	2	M.per	8	39	26	10	5	9.76
1	5	1_05	2	M.per	9	43	26	10	5	9.12
1	6	1_06	1	A.ner	1	15	30	4	2	3.51
1	6	1_06	1	A.ner	2	19	30	6	3	4.62
1	6	1_06	1	A.ner	3	23	30	8	4	5.61
1	6	1_06	1	A.ner	4	26	30	6	3	6.02
1	6	1_06	1	A.ner	5	33	30	10	5	7.86
1	6	1_06	1	A.ner	6	36	30	10	5	9.1
1	6	1_06	1	A.ner	7	39	30	8	4	9.73
1	6	1_06	1	A.ner	8	43	30	8	4	10.77
1	6	1_06	1	A.ner	9	47	30	8	4	10.51
1	7	1_07	2	M.asc	1	13	25	4	2	2.38
1	7	1_07	2	M.asc	2	17	25	6	3	3.43
