Poaceae spp.,Trifolium spp.,Daucus carota,Solidago/Euthamia,other
54,108,6,12,15
48,30,3,8,15
48,66,0,0,27
82,3,3,6,29
94,12,9,0,19
13,70,2,4,7
85,64,6,14,27
36,39,2,4,12
1,14,0,6,13
9,6,2,5,11
10,12,0,2,17
2,2,2,6,15
80,15,0,5,13
14,3,3,6,15
6,3,8,3,12
38,32,2,5,16
23,63,4,15,11
14,56,2,3,5
6,63,21,5,0
17,35,16,6,0
7,12,8,1,0
21,19,5,9,0
22,5,4,2,0
11,200,2,3,0
3,1,2,1,13
17,40,0,5,0
115,135,4,9,51
21,34,7,34,65
160,35,1,2,56
73,23,0,1,46
27,48,4,6,40
21,12,0,12,27
65,63,3,19,25
6,190,3,8,0
40,20,2,4,0
35,15,1,1,9
3,6,13,0,7
3,3,5,2,4
3,1,0,1,9
4,14,2,5,10
